lang	dem	synt_pos	anim	role	anaphor_device	anaphor_form	anaphor_referent	anaphor_start	anaphor_end	anaphor_sentence_transcription	anaphor_sentence_translation	filename	length_words
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab aχikʼob	garden	27.023759825332483	27.729329603851177	Hihuɬi aχi. Gab aχikʼob(aχiχob) muse gab ziwdi gaɬiɬi ʁʷanekʼʷašːudi bakʼarata bukʼa gaɬiɬi urožaj	Грушевый сад. Там где тот сад в этот день того (сада) хозяин собирал того(сада) урожай	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab ziwdi	time	28.671440407599896	29.678820259821503	Hihuɬi aχi. Gab aχikʼob(aχiχob) muse gab ziwdi gaɬiɬi ʁʷanekʼʷašːudi bakʼarata bukʼa gaɬiɬi urožaj	Грушевый сад. Там где тот сад в этот день того (сада) хозяин собирал того(сада) урожай	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gaɬiɬi	garden	30.59110161631527	30.926940506527227	Hihuɬi aχi. Gab aχikʼob(aχiχob) muse gab ziwdi gaɬiɬi ʁʷanekʼʷašːudi bakʼarata bukʼa gaɬiɬi urožaj	Грушевый сад. Там где тот сад в этот день того (сада) хозяин собирал того(сада) урожай	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gaɬiɬi	garden	33.14433544656589	33.59417469400576	Hihuɬi aχi. Gab aχikʼob(aχiχob) muse gab ziwdi gaɬiɬi ʁʷanekʼʷašːudi bakʼarata bukʼa gaɬiɬi urožaj	Грушевый сад. Там где тот сад в этот день того (сада) хозяин собирал того(сада) урожай	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːudi	man	35.90217625432746	36.28423150557776	Gašːudi bakʼaro bukʼa habudaχʷala karzina urožajɬi	Он собирал аж три корзины урожая	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gab	?pears	41.574030906639194	41.80203162109502	Gab bakʼaratakʼob zamanadi ruša etu gawɬi gaɬa weƛʼara hinʁʷa cew adam beχutʼu cʼinaɬula ganduχuda	Во время собирания этого пока он был на дереве к этому подошел один человек за собой козла потянув	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gawɬi	?man	43.6973177407518	44.279643889834915	Gab bakʼaratakʼob zamanadi ruša etu gawɬi gaɬa weƛʼara hinʁʷa cew adam beχutʼu cʼinaɬula ganduχuda	Во время собирания этого пока он был на дереве к этому подошел один человек за собой козла потянув	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	ANIM	secondary character	GA_NP	gaw adam	man2	50.991775032829096	51.55869572823276	Cʼinaɬula gandu gaw adam waa gab-museku batʼa	Козу подтянув этот человек ушёл с этого места прочь	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab-museku	?place	51.89159520796504	52.433867177481595	Cʼinaɬula gandu gaw adam waa gab-museku batʼa	Козу подтянув этот человек ушёл с этого места прочь	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab musa	place	56.85116079495515	57.384189492264035	Ceb zaman buɬičʼada baƛʼu gab musa hinʁʷa	Одно время незакончив между этим в это место пришел	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab meqʼeru	road	67.16282762193988	67.68661304704109	Gab meqʼeru ʁʷaɬakʼorudi gašːuj haʁab gab karzinabaɬi hihuɬi hibcʼu	С этой дороги когда он ехал этот увидел эти карзины  грушами полный	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːuj	boy	68.68180535473338	69.0299686078889	Gab meqʼeru ʁʷaɬakʼorudi gašːuj haʁab gab karzinabaɬi hihuɬi hibcʼu	С этой дороги когда он ехал этот увидел эти карзины  грушами полный	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab karzinabaɬi	baskets	69.50991580125418	70.59445974028728	Gab meqʼeru ʁʷaɬakʼorudi gašːuj haʁab gab karzinabaɬi hihuɬi hibcʼu	С этой дороги когда он ехал этот увидел эти карзины  грушами полный	bkh_pears_gjn_3.TextGrid	293
